NFL,David Johnson,RB,Arizona Cardinals
NFL,Le'Veon Bell,RB,Pittsburgh Steelers
NFL,Antonio Brown,WR,Pittsburgh Steelers
NFL,Julio Jones,WR,Atlanta Falcons
NFL,Odell Beckham Jr.,WR,New York Giants
NFL,LeSean McCoy,RB,Buffalo Bills
NFL,A.J. Green,WR,Cincinnati Bengals
NFL,Mike Evans,WR,Tampa Bay Buccaneers
NFL,Melvin Gordon,RB,Los Angeles Chargers
NFL,Devonta Freeman,RB,Atlanta Falcons
NFL,Jordy Nelson,WR,Green Bay Packers
NFL,DeMarco Murray,RB,Tennessee Titans
NFL,Jay Ajayi,RB,Miami Dolphins
NFL,Michael Thomas,WR,New Orleans Saints
NFL,Jordan Howard,RB,Chicago Bears
NFL,Doug Baldwin,WR,Seattle Seahawks
NFL,Dez Bryant,WR,Dallas Cowboys
NFL,Amari Cooper,WR,Oakland Raiders
NFL,Todd Gurley,RB,Los Angeles Rams
NFL,Brandin Cooks,WR,New England Patriots
NFL,T.Y. Hilton,WR,Indianapolis Colts
NFL,Rob Gronkowski,TE,New England Patriots
NFL,Demaryius Thomas,WR,Denver Broncos
NFL,DeAndre Hopkins,WR,Houston Texans
NFL,Isaiah Crowell,RB,Cleveland Browns
NFL,Keenan Allen,WR,Los Angeles Chargers
NFL,Leonard Fournette,RB,Jacksonville Jaguars
NFL,Travis Kelce,TE,Kansas City Chiefs
NFL,Ezekiel Elliott,RB,Dallas Cowboys
NFL,Lamar Miller,RB,Houston Texans
NFL,Alshon Jeffery,WR,Philadelphia Eagles
NFL,Terrelle Pryor,WR,Washington Redskins
NFL,Michael Crabtree,WR,Oakland Raiders
NFL,Larry Fitzgerald,WR,Arizona Cardinals
NFL,Dalvin Cook,RB,Minnesota Vikings
NFL,Allen Robinson,WR,Jacksonville Jaguars
NFL,Golden Tate,WR,Detroit Lions
NFL,Christian McCaffrey,RB,Carolina Panthers
NFL,Aaron Rodgers,QB,Green Bay Packers
NFL,Kareem Hunt,RB,Kansas City Chiefs
NFL,Davante Adams,WR,Green Bay Packers
NFL,Carlos Hyde,RB,San Fransisco 49ers
NFL,Tom Brady,QB,New England Patriots
NFL,Ty Montgomery,RB,Green Bay Packers
NFL,Marshawn Lynch,RB,Oakland Raiders
NFL,Greg Olsen,TE,Carolina Panthers
NFL,Jarvis Landry,WR,Miami Dolphins
NFL,Drew Brees,QB,New Orleans Saints
NFL,Jordan Reed,TE,Washington Redskins
NFL,Stefon Diggs,WR,Minnesota Vikings
NFL,Mark Ingram,RB,New Orleans Saints
NFL,Emmanuel Sanders,WR,Denver Broncos
NFL,Joe Mixon,RB,Cincinnati Bengals
NFL,Bilal Powell,RB,New York Jets
NFL,Tyreek Hill,WR,Kansas City Chiefs
NFL,Sammy Watkins,WR,Los Angeles Rams
NFL,Danny Woodhead,RB,Baltimore Ravens
NFL,Jamison Crowder,WR,Washington Redskins
NFL,Jimmy Graham,TE,Seattle Seahawks
NFL,C.J. Anderson,RB,Denver Broncos
NFL,Martavis Bryant,WR,Pittsburgh Steelers
NFL,Kelvin Benjamin,WR,Carolina Panthers
NFL,Ameer Abdullah,RB,Detroit Lions
NFL,Russell Wilson,QB,Seattle Seahawks
NFL,Matt Ryan,QB,Atlanta Falcons
NFL,Willie Snead,WR,New Orleans Saints
NFL,Tevin Coleman,RB,Atlanta Falcons
NFL,Pierre Garcon,WR,San Fransisco 49ers
NFL,Brandon Marshall,WR,New York Giants
NFL,Kyle Rudolph,TE,Minnesota Vikings
NFL,Tyler Eifert,TE,Cincinnati Bengals
NFL,Frank Gore,RB,Indianapolis Colts
NFL,Jeremy Maclin,WR,Baltimore Ravens
NFL,Devante Parker,WR,Miami Dolphins
NFL,Kirk Cousins,QB,Washington Redskins
NFL,Theo Riddick,RB,Detroit Lions
NFL,Zach Ertz,TE,Philadelphia Eagles
NFL,Delanie Walker,TE,Tennessee Titans
NFL,Mike Gillislee,RB,New England Patriots
NFL,Marcus Mariota,QB,Tennessee Titans
NFL,Donte Moncrief,WR,Indianapolis Colts
NFL,Andrew Luck,QB,Indianapolis Colts
NFL,DeSean Jackson,WR,Tampa Bay Buccaneers
NFL,Duke Johnson,RB,Cleveland Browns
NFL,Jameis Winston,QB,Tampa Bay Buccaneers
NFL,Doug Martin,RB,Tampa Bay Buccaneers
NFL,Cam Newton,QB,Carolina Panthers
NFL,Adrian Peterson,RB,New Orleans Saints
NFL,Tyrell Williams,WR,Los Angeles Chargers
NFL,Eric Decker,WR,Tennessee Titans
NFL,Paul Perkins,RB,New York Giants
NFL,Terrance West,RB,Baltimore Ravens
NFL,Randall Cobb,WR,Green Bay Packers
NFL,Kenny Britt,WR,Cleveland Browns
NFL,Martellus Bennett,TE,Green Bay Packers
NFL,Derek Carr,QB,Oakland Raiders
NFL,Jordan Matthews,WR,Buffalo Bills
NFL,Adam Thielen,WR,Minnesota Vikings
NFL,Ben Roethlisberger,QB,Pittsburgh Steelers
NFL,Mike Wallace,WR,Baltimore Ravens
NFL,James White,RB,New England Patriots
NFL,Eric Ebron,TE,Detroit Lions
NFL,Robert Kelley,RB,Washington Redskins
NFL,Dak Prescott,QB,Dallas Cowboys
NFL,Corey Coleman,WR,Cleveland Browns
NFL,Philip Rivers,QB,Los Angeles Chargers
NFL,Matthew Stafford,QB,Detroit Lions
NFL,Derrick Henry,RB,Tennessee Titans
NFL,Hunter Henry,TE,Los Angeles Chargers
NFL,Darren Sproles,RB,Philadelphia Eagles
NFL,C.J. Prosise,RB,Seattle Seahawks
NFL,Matt Forte,RB,New York Jets
NFL,LeGarrette Blount,RB,Philadelphia Eagles
NFL,John Brown,WR,Arizona Cardinals
NFL,Jack Doyle,TE,Indianapolis Colts
NFL,Rishard Matthews,WR,Tennessee Titans
NFL,Eddie Lacy,RB,Seattle Seahawks
NFL,Jonathan Stewart,RB,Carolina Panthers
NFL,Marvin Jones,WR,Detroit Lions
NFL,Andy Dalton,QB,Cincinnati Bengals
NFL,Darren McFadden,RB,Dallas Cowboys
NFL,Corey Davis,WR,Tennessee Titans
NFL,Jason Witten,TE,Dallas Cowboys
NFL,Chris Hogan,WR,New England Patriots
NFL,Kevin White,WR,Chicago Bears
NFL,Eli Manning,QB,New York Giants
NFL,Thomas Rawls,RB,Seattle Seahawks
NFL,Ted Ginn,WR,New Orleans Saints
NFL,Giovani Bernard,RB,Cincinnati Bengals
NFL,Coby Fleener,TE,New Orleans Saints
NFL,Zay Jones,WR,Buffalo Bills
NFL,Tyrod Taylor,QB,Buffalo Bills
NFL,Sterling Shepard,WR,New York Giants
NFL,Austin Hooper,TE,Atlanta Falcons
NFL,Carson Palmer,QB,Arizona Cardinals
NFL,Jacquizz Rodgers,RB,Tampa Bay Buccaneers
NFL,Carson Wentz,QB,Philadelphia Eagles
NFL,Denver Broncos,DST,Denver Broncos
NFL,C.J. Fiedorowicz,TE,Houston Texans
NFL,Rex Burkhead,RB,New England Patriots
NFL,Cole Beasley,WR,Dallas Cowboys
NFL,Robby Anderson,WR,New York Jets
NFL,Chris Thompson,RB,Washington Redskins
NFL,Samaje Perine,RB,Washington Redskins
NFL,Cameron Brate,TE,Tampa Bay Buccaneers
NFL,Houston Texans,DST,Houston Texans
NFL,Seattle Seahawks,DST,Seattle Seahawks
NFL,Shane Vereen,RB,New York Giants
NFL,Josh Doctson,WR,Washington Redskins
NFL,Julius Thomas,TE,Miami Dolphins
NFL,Jeremy Hill,RB,Cincinnati Bengals
NFL,Tyler Lockett,WR,Seattle Seahawks
NFL,Kansas City Chiefs,DST,Kansas City Chiefs
NFL,Alvin Kamara,RB,New Orleans Saints
NFL,Jamaal Charles,RB,Denver Broncos
NFL,Jamaal Williams,RB,Green Bay Packers
NFL,Latavius Murray,RB,Minnesota Vikings
NFL,Marqise Lee,WR,Jacksonville Jaguars
NFL,Antonio Gates,TE,Los Angeles Chargers
NFL,Kenny Stills,WR,Miami Dolphins
NFL,Minnesota Vikings,DST,Minnesota Vikings
NFL,Arizona Cardinals,DST,Arizona Cardinals
NFL,Cooper Kupp,WR,Los Angeles Rams
NFL,Breshad Perriman,WR,Baltimore Ravens
NFL,Kenny Golladay,WR,Detroit Lions
NFL,DeAndre Washington,RB,Oakland Raiders
NFL,Robert Woods,WR,Los Angeles Rams
NFL,Joe Flacco,QB,Baltimore Ravens
NFL,Stephen Gostkowski,K,New England Patriots
NFL,New England Patriots,DST,New England Patriots
NFL,Justin Tucker,K,Baltimore Ravens
NFL,Charles Sims,RB,Tampa Bay Buccaneers
NFL,Marlon Mack,RB,Indianapolis Colts
NFL,Jared Cook,TE,Oakland Raiders
NFL,Sam Bradford,QB,Minnesota Vikings
NFL,Kendall Wright,WR,Chicago Bears
NFL,Dion Lewis,RB,New England Patriots
NFL,Evan Engram,TE,New York Giants
NFL,O.J. Howard,TE,Tampa Bay Buccaneers
NFL,Blake Bortles,QB,Jacksonville Jaguars
NFL,Jay Cutler,QB,Miami Dolphins
NFL,Mohamed Sanu,WR,Atlanta Falcons
NFL,Taylor Gabriel,WR,Atlanta Falcons
NFL,J.J. Nelson,WR,Arizona Cardinals
NFL,John Ross,WR,Cincinnati Bengals
NFL,Jonathan Williams,RB,Buffalo Bills
NFL,Charles Clay,TE,Buffalo Bills
